job,task,hint,mean,std
102,0,rob1_station_6_dwell,1.665,0.009
102,1,0.1,0.100,0.000
102,2,rob1_station_6_pick,1.139,0.012
102,3,closing,0.001,0.000
102,4,2.0,2.002,0.000
102,5,rob1_station_6_lift,0.639,0.006
102,6,0.1,0.100,0.000
102,7,rob1_station_6_safe,2.001,0.013
102,8,0.1,0.100,0.000
102,9,rob1_station_1_dwell,1.542,0.003
102,10,None,1.547,0.004
102,11,0.1,0.100,0.000
102,12,rob1_station_1_pick,0.769,0.010
102,13,opening,0.001,0.000
102,14,2.0,2.002,0.000
102,15,rob1_station_1_dwell,0.777,0.008
102,16,None,0.782,0.008
102,17,0.1,0.100,0.000
102,18,cand,1.507,0.009
103,0,rob1_station_1_dwell,1.511,0.010
103,1,None,1.515,0.010
103,2,0.1,0.100,0.000
103,3,rob1_station_1_pick,0.767,0.009
103,4,0.1,0.100,0.000
103,5,closing,0.001,0.000
103,6,2.0,2.002,0.000
103,7,rob1_station_1_dwell,0.776,0.009
103,8,None,0.781,0.008
103,9,0.1,0.100,0.000
103,10,rob1_station_2_dwell,1.986,0.008
103,11,None,1.990,0.008
103,12,0.1,0.100,0.000
103,13,rob1_station_2_pick,0.771,0.010
103,14,0.1,0.100,0.000
103,15,opening,0.001,0.000
103,16,2.0,2.002,0.000
103,17,rob1_station_2_dwell,0.769,0.010
103,18,None,0.773,0.010
103,19,0.1,0.100,0.000
103,20,cand,2.515,0.010
101,0,rob1_station_2_dwell,2.593,0.015
101,1,None,2.598,0.015
101,2,0.1,0.100,0.000
101,3,rob1_station_2_pick,0.778,0.007
101,4,0.1,0.100,0.000
101,5,closing,0.001,0.000
101,6,2.0,2.002,0.000
101,7,rob1_station_2_dwell,0.768,0.009
101,8,None,0.772,0.009
101,9,0.1,0.100,0.000
101,10,rob1_station_7_place,3.303,0.004
101,11,1.0,0.003,0.001
101,12,None,4.869,0.050
101,13,opening,0.001,0.000
101,14,2.0,2.002,0.000
101,15,rob1_station_7_lift,0.656,0.011
101,16,0.1,0.100,0.000
101,17,cand,2.033,0.010
101,18,1.0,0.003,0.002
101,19,0.1,0.100,0.000
101,20,None,0.101,0.000
201,0,None,1.396,0.075
201,1,rob2_station_8_dwell,1.801,0.008
201,2,0.1,0.100,0.000
201,3,rob2_station_8_pick,0.783,0.015
201,4,0.1,0.100,0.000
201,5,closing,0.001,0.000
201,6,2.0,2.002,0.000
201,7,None,2.004,0.000
201,8,rob2_station_3_dwell,7.257,0.059
201,9,None,7.261,0.059
201,10,0.1,0.100,0.000
201,11,rob2_station_3_pick,0.860,0.007
201,12,0.1,0.100,0.000
201,13,opening,0.001,0.000
201,14,2.0,2.002,0.000
201,15,rob2_station_3_dwell,0.862,0.004
201,16,None,0.867,0.005
201,17,0.1,0.100,0.000
201,18,cand,2.243,0.006
201,19,0.1,0.100,0.000
203,0,rob2_station_4_dwell,1.802,0.004
203,1,None,1.807,0.005
203,2,0.1,0.100,0.000
203,3,rob2_station_4_pick,0.780,0.010
203,4,0.1,0.100,0.000
203,5,closing,0.001,0.000
203,6,2.0,2.002,0.000
203,7,rob2_station_4_dwell,0.784,0.007
203,8,None,0.789,0.007
203,9,0.1,0.100,0.000
203,10,rob2_station_5_dwell,1.838,0.008
203,11,0.1,0.100,0.000
203,12,rob2_station_5_drop,0.601,0.004
203,13,0.1,0.100,0.000
203,14,opening,0.001,0.000
203,15,2.0,2.002,0.000
203,16,rob2_station_5_dwell,0.597,0.010
203,17,0.1,0.100,0.000
203,18,cand,1.482,0.004
203,19,0.1,0.100,0.000
202,0,rob2_station_3_dwell,2.243,0.005
202,1,None,2.248,0.006
202,2,0.1,0.100,0.000
202,3,rob2_station_3_pick,0.860,0.009
202,4,0.1,0.100,0.000
202,5,closing,0.001,0.000
202,6,2.0,2.002,0.000
202,7,rob2_station_3_dwell,0.862,0.004
202,8,None,0.867,0.004
202,9,0.1,0.100,0.000
202,10,rob2_station_4_dwell,1.262,0.004
202,11,None,1.267,0.005
202,12,0.1,0.100,0.000
202,13,rob2_station_4_pick,0.777,0.010
202,14,0.1,0.100,0.000
202,15,opening,0.001,0.000
202,16,2.0,2.002,0.000
202,17,rob2_station_4_dwell,0.785,0.008
202,18,None,0.789,0.008
202,19,0.1,0.100,0.000
202,20,cand,1.802,0.004
202,21,0.1,0.100,0.000
